PASS | JS syntax js/app-01.js
PASS | JS syntax js/app-02.js
PASS | JS syntax js/app-03.js
PASS | JS syntax js/app-04-adaptive-schedule.js
PASS | JS syntax js/app-05-rtdb-block1.js
PASS | JS syntax js/app-06-quest-ui.js
PASS | JS syntax js/app-07-quest-parts-loader.js
PASS | JS syntax js/auth-bridge.js
PASS | JS syntax js/firebase-boot.js
PASS | JS syntax js/offline-enhancements.js
PASS | JS syntax js/pinyin-phonetics-loader.js
PASS | JS syntax js/schedule-engine-core.js
PASS | JS syntax js/first-time-guide.js
PASS | JS syntax functions/index.js
PASS | JS syntax functions/schedule-engine-core.js
PASS | joined phonetics bundle syntax
PASS | JSON firebase.json
PASS | JSON database.rules.json
PASS | file exists firestore.rules
PASS | JSON manifest.json
PASS | JSON assets/curriculum_days.json
PASS | JSON functions/package.json
PASS | Firebase API key app/boot consistent
PASS | Firebase project/appId consistent
PASS | no stale RTDB studentProfiles write
PASS | no unsupported RTDB isMap/in
PASS | RTDB root deny
PASS | Firestore includes legacy progress collections
PASS | cron timezone
PASS | cron deterministic daily id
PASS | cron deterministic extension id
PASS | incomplete study reminder cron
PASS | study reminder notification/chat id
PASS | first learner guide present
PASS | guide stores seen state without client API key
PASS | Quest gate present
PASS | Practice has two intended cards
PASS | removed icon reference
PASS | no embedded localhost
RESULT | 39/39 checks passed
